Item,Amount,Minimizer,Method,Assemblers,Execution Time (seconds)
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.00983480000286363
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.22882489999756217
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008744899998418987
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.22726759999932256
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008604800001194235
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.22410520000266843
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.009210599993821234
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.22807530000136467
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008699099998921156
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.22987889999785693
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.00950560000637779
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.2289634000044316
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.009911999994073994
copper-cable,100,1,solve,"{'copper-cable': 1, 'copper-plate': 0}",0.22695849999581696
copper-cable,100,1,build_belts,"{'copper-cable': 1, 'copper-plate': 0}",0.008613899997726548
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.6079033999994863
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.01750460000039311
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.626176799996756
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.014382800000021234
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.6125369000001228
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.01672040000266861
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.582579000001715
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.015008800000941847
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.5749741999970865
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.015064499995787628
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.5775646999973105
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.014399200001207646
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.5746045999985654
copper-cable,200,1,build_belts,"{'copper-cable': 2, 'copper-plate': 0}",0.0139534999980242
copper-cable,200,1,solve,"{'copper-cable': 2, 'copper-plate': 0}",0.609471299998404
